code,lon,lat,hgt,crd1_flg,crd2_flg,crd1_X,crd1_Y,crd1_Z,crd2_X,crd2_Y,crd2_Z,diff_X,diff_Y,diff_Z,diff_E,diff_N,diff_U
IRKG 12313M002,104.31618593255989,52.21902007696288,502.05761465989053,I,I,-968328.83548,3794426.51608,5018167.22702,-968328.83548,3794426.51608,5018167.22702,0.0,0.0,0.0,0.0,0.0,0.0
IRKJ 12313M002,104.31618593255989,52.21902007696288,502.05761465989053,I,I,-968328.83548,3794426.51608,5018167.22702,-968328.83548,3794426.51608,5018167.22702,0.0,0.0,0.0,0.0,0.0,0.0
IRKM 12313M001,104.31624403903659,52.21902364945568,502.34766575787216,I,I,-968332.64984,3794425.40178,5018167.69982,-968332.64984,3794425.40178,5018167.69982,0.0,0.0,0.0,0.0,0.0,0.0
IRKT 12313M001,104.31624403903659,52.21902364945568,502.34766575787216,I,I,-968332.64984,3794425.40178,5018167.69982,-968332.64984,3794425.40178,5018167.69982,0.0,0.0,0.0,0.0,0.0,0.0
ISPA 41703M007,-109.34440481545832,-27.124983291011205,112.48853273130953,I,I,-1881703.01646,-5359979.92043,-2890599.289,-1881703.01646,-5359979.92043,-2890599.289,0.0,0.0,0.0,0.0,0.0,0.0
ISTA 20807M001,29.019343239223097,41.104448517205604,147.25368396844715,I,I,4208830.12907,2334850.487,4171267.33885,4208830.12907,2334850.487,4171267.33885,0.0,0.0,0.0,0.0,0.0,0.0
JAB1 50136M001,132.8939012963061,-12.65884283725127,82.11030945274979,I,I,-4236443.40605,4559929.32157,-1388623.5743,-4236443.40605,4559929.32157,-1388623.5743,0.0,0.0,0.0,0.0,0.0,0.0
JOZ2 12204M002,21.032354173633927,52.09783716842311,152.5324643086642,I,I,3664880.39776,1409190.74783,5009618.57308,3664880.39776,1409190.74783,5009618.57308,0.0,0.0,0.0,0.0,0.0,0.0
JOZE 12204M001,21.031541891179725,52.097276258535736,141.44956477638334,I,I,3664939.98769,1409154.02139,5009571.48628,3664939.98769,1409154.02139,5009571.48628,0.0,0.0,0.0,0.0,0.0,0.0
JPLM 40400M007,-118.17322997068152,34.204821220811596,423.9860751219094,I,I,-2493304.72047,-4655215.00813,3565497.59349,-2493304.72047,-4655215.00813,3565497.59349,0.0,0.0,0.0,0.0,0.0,0.0
KARR 50139M001,117.09719484809764,-20.98142516780072,109.14727210253477,I,I,-2713833.05385,5303935.11062,-2269514.02863,-2713833.05385,5303935.11062,-2269514.02863,0.0,0.0,0.0,0.0,0.0,0.0
KELY 43005M002,-50.944842332299,66.98741952846224,229.842106689699,I,I,1575558.90021,-1941827.96799,5848076.55824,1575558.90021,-1941827.96799,5848076.55824,0.0,0.0,0.0,0.0,0.0,0.0
KERG 91201M002,70.25552297942912,-49.35146697460705,73.00065412279218,I,I,1406337.21869,3918161.09936,-4816167.36177,1406337.21869,3918161.09936,-4816167.36177,0.0,0.0,0.0,0.0,0.0,0.0
KGNI 21704S005,139.48812049546183,35.71034154174209,123.54161165934056,I,I,-3941949.16724,3368156.39677,3702214.79468,-3941949.16724,3368156.39677,3702214.79468,0.0,0.0,0.0,0.0,0.0,0.0
KHAB 12361M001,135.04615858837207,48.52145304971096,130.46868087537587,I,I,-2995266.70877,2990444.50298,4755575.77586,-2995266.70877,2990444.50298,4755575.77586,0.0,0.0,0.0,0.0,0.0,0.0
KHAJ 12361M001,135.04615858837207,48.52145304971096,130.46868087537587,I,I,-2995266.70877,2990444.50298,4755575.77586,-2995266.70877,2990444.50298,4755575.77586,0.0,0.0,0.0,0.0,0.0,0.0
KIT3 12334M001,66.88544854830607,39.13476740248351,622.4865470873192,I,I,1944944.86454,4556652.31264,4004326.04258,1944944.86454,4556652.31264,4004326.04258,0.0,0.0,0.0,0.0,0.0,0.0
KOKB 40424M004,-159.66493396996296,22.126265940651756,1167.358779475093,I,I,-5543838.28469,-2054586.12145,2387810.28381,-5543838.28469,-2054586.12145,2387810.28381,0.0,0.0,0.0,0.0,0.0,0.0
KOKV 40424M004,-159.66493396996296,22.126265940651756,1167.358779475093,I,I,-5543838.28469,-2054586.12145,2387810.28381,-5543838.28469,-2054586.12145,2387810.28381,0.0,0.0,0.0,0.0,0.0,0.0
KOSG 13504M003,5.809646566454731,52.17842820179868,96.84522725455463,I,I,3899224.98058,396732.1054,5015078.523,3899224.98058,396732.1054,5015078.523,0.0,0.0,0.0,0.0,0.0,0.0
KOUC 92727S001,164.28733849388888,-20.558688920265478,84.12861233204603,I,I,-5751223.0196,1617967.31879,-2225743.40896,-5751223.0196,1617967.31879,-2225743.40896,0.0,0.0,0.0,0.0,0.0,0.0
KUNM 21609M001,102.79719853735014,25.02953707194403,1986.2021796107292,I,I,-1281256.03186,5640746.08427,2682879.79993,-1281256.03186,5640746.08427,2682879.79993,0.0,0.0,0.0,0.0,0.0,0.0
KWJ1 50506M001,167.73023317588238,8.722209665057118,38.204940306954086,I,I,-6160880.62372,1339884.15444,960810.98904,-6160880.62372,1339884.15444,960810.98904,0.0,0.0,0.0,0.0,0.0,0.0
